#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        0.4491591453552246
# gapTime                                           150.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_5
# img{1}_AzInt_Px_6
# img{2}_AzInt_Px_7
# img{3}_AzInt_Px_8
# img{4}_AzInt_Px_9
#
#####################################################################################################
q(A-1)                             I(q)Ave_151_e6_10mM_01092AzInt_Px            Sig(q)Ave_151_e6_10mM_01092AzInt_Px          
0.03349131197434493                0.0009972552302932158                        1.382774002727933e-06                        
0.03363820033031848                0.0009656155562847802                        1.3405690931420376e-06                       
0.03378508864213726                0.0009394036672408611                        1.3353626609011548e-06                       
0.033931976909608454               0.0009175720856700013                        1.307504669059599e-06                        
0.034078865132539285               0.0009016405299130864                        1.2918984375619352e-06                       
0.03422575331073696                0.0008834085989178357                        1.2850303506042637e-06                       
0.034372641444008686               0.0008790411961736488                        1.2762950317015788e-06                       
0.03451952953216168                0.0008711980021219584                        1.2740367088083822e-06                       
0.03466641757500316                0.0008648341673418902                        1.2721437599926967e-06                       
0.03481330557234031                0.000865904598135028                         1.2935726126430697e-06                       
0.034960193523980373               0.0008664553380148702                        1.3058151493479155e-06                       
0.03510708142973055                0.0008710830007727094                        1.3145910709161825e-06                       
0.03525396928939806                0.000873103279657874                         1.3355793649264549e-06                       
0.03540085710279008                0.0008826968268878471                        1.3104962754629756e-06                       
0.03554774486971388                0.000890608345786718                         1.3126367939255579e-06                       
0.03569463258997664                0.0009001910143688566                        1.3108328452686562e-06                       
0.03584152026338561                0.0009091959935614369                        1.3043653662030549e-06                       
0.03598840788974793                0.000920151384470324                         1.31507509970839e-06                         
0.03613529546887089                0.0009316606246061489                        1.3061990734006493e-06                       
0.03628218300056167                0.0009381186431066543                        1.3307745232055739e-06                       
0.03642907048462749                0.0009502851902843664                        1.3149830113684235e-06                       
0.036575957920875576               0.0009575968822453995                        1.3221394776319026e-06                       
0.03672284530911314                0.0009666059391019194                        1.3283445422350744e-06                       
0.03686973264914739                0.0009756242961618982                        1.3267784175911662e-06                       
0.03701661994078555                0.000978995961933482                         1.3311728573085559e-06                       
0.03716350718383484                0.0009853761555702317                        1.327121881433758e-06                        
0.03731039437810248                0.0009851983453000258                        1.3290829173024635e-06                       
0.03745728152339567                0.0009914962912833361                        1.3305439131887784e-06                       
0.03760416861952166                0.0009915995271026217                        1.3244197429916831e-06                       
0.03775105566628764                0.000991179796279057                         1.3310255542946351e-06                       
0.03789794266350083                0.0009883051728779677                        1.3094431148868257e-06                       
0.03804482961096848                0.0009850539836710613                        1.3200421538268784e-06                       
0.03819171650849779                0.0009747703636566872                        1.3144912291779783e-06                       
0.03833860335589597                0.0009695522843987997                        1.2930409980706167e-06                       
0.038485490152970266               0.0009590143436722451                        1.289894077963313e-06                        
0.03863237689952787                0.0009499112201142967                        1.2753944991457832e-06                       
0.03877926359537602                0.0009345825202084965                        1.2740029110080558e-06                       
0.03892615024032195                0.0009221660303312775                        1.256003846689774e-06                        
0.03907303683417286                0.0009063270147263188                        1.2501716362349112e-06                       
0.039219923376736                  0.0008906812511198113                        1.2282630054847736e-06                       
0.039366809867818556               0.0008698288527930786                        1.217414551211456e-06                        
0.03951369630722778                0.0008514981788297578                        1.1956378825440736e-06                       
0.039660582694770886               0.0008299818623614472                        1.1741274207978092e-06                       
0.0398074690302551                 0.0008111115344604809                        1.1657981267139422e-06                       
0.039954355313487656               0.0007853089177120425                        1.1415398801062366e-06                       
0.04010124154427576                0.0007643837144263747                        1.1229722568141065e-06                       
0.04024812772242665                0.0007390276737947395                        1.0983908164827513e-06                       
0.04039501384774754                0.0007188296973968009                        1.0766329561051067e-06                       
0.04054189992004567                0.0006943258048591397                        1.0656691972198857e-06                       
0.040688785939128266               0.0006678447608463302                        1.0431611342094832e-06                       
0.040835671904802556               0.0006446093909786356                        1.0224272879970782e-06                       
0.04098255781687576                0.00062184549646883                          9.985598765135978e-07                        
0.04112944367515511                0.0006001789454585839                        9.936383436819074e-07                        
0.04127632947944784                0.0005774882784656867                        1.0014630742598919e-06                       
0.04142321522956116                0.0005575203361976014                        9.766040774065074e-07                        
